"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","dextuploadnj.sample.ko.spring","src/main/java/dextuploadnj/sample/ko/spring/DataRepository.java","1","15","mothod 레벨의 synchronization 보다 block 레벨 synchronization 을 사용하는 것이 바람직함","pmd-eclipse","AvoidSynchronizedAtMethodLevel"
"2","dextuploadnj.sample.ko.spring","src/main/java/dextuploadnj/sample/ko/spring/DataRepository.java","1","43","mothod 레벨의 synchronization 보다 block 레벨 synchronization 을 사용하는 것이 바람직함","pmd-eclipse","AvoidSynchronizedAtMethodLevel"
"3","dextuploadnj.sample.ko.spring","src/main/java/dextuploadnj/sample/ko/spring/FileRepository.java","1","15","mothod 레벨의 synchronization 보다 block 레벨 synchronization 을 사용하는 것이 바람직함","pmd-eclipse","AvoidSynchronizedAtMethodLevel"
"4","dextuploadnj.sample.ko.spring","src/main/java/dextuploadnj/sample/ko/spring/FileRepository.java","1","43","mothod 레벨의 synchronization 보다 block 레벨 synchronization 을 사용하는 것이 바람직함","pmd-eclipse","AvoidSynchronizedAtMethodLevel"
"5","dextuploadnj.sample.ko.spring","src/main/java/dextuploadnj/sample/ko/spring/SampleDownloadController.java","1","17","동일 패키지에 있을 때는 import문을 사용할 필요가 없음","pmd-eclipse","ImportFromSamePackage"
"6","dextuploadnj.sample.ko.spring","src/main/java/dextuploadnj/sample/ko/spring/SampleDownloadController.java","1","18","동일 패키지에 있을 때는 import문을 사용할 필요가 없음","pmd-eclipse","ImportFromSamePackage"
"7","dextuploadnj.sample.ko.spring","src/main/java/dextuploadnj/sample/ko/spring/SampleUploadController.java","1","14","동일 패키지에 있을 때는 import문을 사용할 필요가 없음","pmd-eclipse","ImportFromSamePackage"
"8","dextuploadnj.sample.ko.spring","src/main/java/dextuploadnj/sample/ko/spring/SampleUploadController.java","1","15","동일 패키지에 있을 때는 import문을 사용할 필요가 없음","pmd-eclipse","ImportFromSamePackage"
"9","dextuploadnj.sample.ko.spring","src/main/java/dextuploadnj/sample/ko/spring/SampleUploadController.java","1","16","동일 패키지에 있을 때는 import문을 사용할 필요가 없음","pmd-eclipse","ImportFromSamePackage"
"10","egovframework.com.cmm.filter","src/main/java/egovframework/com/cmm/filter/HTMLTagFilter.java","1","43","빈 Method에 주석을 추가할것","pmd-eclipse","UncommentedEmptyMethod"
"11","kcue.ast.eip.com.web","src/main/java/kcue/ast/eip/com/web/EipComScoreMgrController.java","1","119","Switch구문에는 반드시 default label이 있어야 함","pmd-eclipse","SwitchStmtsShouldHaveDefault"
"12","kcue.ast.eip.cun.comput.web","src/main/java/kcue/ast/eip/cun/comput/web/ConComputVrifyController.java","2","71","사용되지 않는 Private field 'conFtrcScrComputController' 가 선언되었음","pmd-eclipse","UnusedPrivateField"
"13","kcue.ast.eip.cun.mng.csat.web","src/main/java/kcue/ast/eip/cun/mng/csat/web/ConCsatScrMngController.java","1","73","빈 if 구문의 사용을 피하도록 함","pmd-eclipse","EmptyIfStmt"
"14","kcue.ast.eip.cun.mng.sgc.web","src/main/java/kcue/ast/eip/cun/mng/sgc/web/ConStdptScrMngPrintController.java","2","39","사용되지 않는 Private field 'conStdptScrMngService' 가 선언되었음","pmd-eclipse","UnusedPrivateField"
"15","kcue.ast.eip.cun.mng.sgc.web","src/main/java/kcue/ast/eip/cun/mng/sgc/web/ConStdptScrMngPrintController.java","2","47","사용되지 않는 Private field 'messageSource' 가 선언되었음","pmd-eclipse","UnusedPrivateField"
"16","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConAtrcrScrComputController.java","2","1672","'pstGuidVO' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"17","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","1131","'courseList' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"18","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","1131","'sgrdList' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"19","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","1305","'courseList' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"20","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","1305","'sgrdList' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"21","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","1475","'courseList' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"22","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","1475","'courseList' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"23","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","1475","'courseList' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"24","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","1516","'courseList' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"25","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","1516","'courseList' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"26","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","1516","'courseList' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"27","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","1","1582","String 을 append 할 경우, String.valueOf 함수를 사용할 필요 없음.","pmd-eclipse","UselessStringValueOf"
"28","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","4821","'sbjectNm' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"29","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","4821","'sbjectNm' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"30","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","4821","'sbjectNm' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"31","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","4821","'sbjectNm' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"32","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","4821","'sbjectNm' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"33","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","1","7618","배열의 값을 루프문을 이용하여 복사하는 것 보다 System.arraycopy() 메소드를 이용하여 복사하는 것이 효율적이며 수행 속도가 빠름","pmd-eclipse","AvoidArrayLoops"
"34","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2019.java","2","37453","'courseList' 처럼 파라미터 값을 직접 변경하지 말것","pmd-eclipse","AvoidReassigningParameters"
"35","kcue.ast.eip.cun.ssa.atrcr.web","src/main/java/kcue/ast/eip/cun/ssa/atrcr/web/ConComputSgc2020.java","1","50","static 필드의 안전하지않은 사용 가능성","pmd-eclipse","AssignmentToNonFinalStatic"
